Rank_x,Title,Rating,Image_URL_x,Episodes,Dates,Rank_y,Score,URL,Image_URL_y
19,Koe no Katachi,8.94,https://cdn.myanimelist.net/r/50x70/images/anime/1122/96435.jpg?s=56d2750d600af93a5d326daec7748cae,Movie (1 eps),Sep 2016 - Sep 2016,26,8.86,https://myanimelist.net/manga/56805/Koe_no_Katachi,https://cdn.myanimelist.net/r/50x70/images/manga/1/120529.jpg?s=7d7fdc308409589ca579b5a9376effd9
26,Monster,8.86,https://cdn.myanimelist.net/r/50x70/images/anime/10/18793.jpg?s=08c4f10a101c3835eeb14ca0715512bd,TV (74 eps),Apr 2004 - Sep 2005,5,9.14,https://myanimelist.net/manga/1/Monster,https://cdn.myanimelist.net/r/50x70/images/manga/3/258224.jpg?s=f65b4f0f7c01818fedf3987591ab7ce2
36,Monogatari Series: Second Season,8.77,https://cdn.myanimelist.net/r/50x70/images/anime/1807/121534.jpg?s=2f42455822fc348ba1fd6c50e94fcce1,TV (26 eps),Jul 2013 - Dec 2013,18,8.91,https://myanimelist.net/manga/23751/Monogatari_Series__Second_Season,https://cdn.myanimelist.net/r/50x70/images/manga/2/181553.jpg?s=f27f4bdebd5a5d90996112eda295cf1b
38,Hajime no Ippo,8.76,https://cdn.myanimelist.net/r/50x70/images/anime/4/86334.jpg?s=4b3096d30158e251d87c196e56c04e63,TV (75 eps),Oct 2000 - Mar 2002,47,8.7,https://myanimelist.net/manga/7/Hajime_no_Ippo,https://cdn.myanimelist.net/r/50x70/images/manga/2/250313.jpg?s=6dc41bd9010faf794e434cf14c20a7a9
45,Vinland Saga,8.73,https://cdn.myanimelist.net/r/50x70/images/anime/1500/103005.jpg?s=b21dbd168612f531ce4eec9bd53e272b,TV (24 eps),Jul 2019 - Dec 2019,9,9.02,https://myanimelist.net/manga/642/Vinland_Saga,https://cdn.myanimelist.net/r/50x70/images/manga/2/188925.jpg?s=18b1d30b74bf96b476068901f579e408
